,eventType,target.id,target.css,timeStamp,target.value,x,y,target.tagName,target.name,idx,Task,targetApp,target.workbookName,target.sheetName,url,content,target.innerText
0,click,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][2]/*[name()='DIV'][2]/*[name()='UL'][1]/*[name()='DIV'][1]/*[name()='LI'][1]/*[name()='DIV'][1]/*[name()='IMG'][1],div:nth-child(1) > img:nth-child(2),2022-07-22T12:05:45.702Z,,6.0,148.0,IMG,,1504,TF_03.csv,Fiori,,,,,
1,right_click,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][2]/*[name()='DIV'][2]/*[name()='UL'][1]/*[name()='DIV'][1]/*[name()='LI'][1]/*[name()='UL'][1]/*[name()='LI'][8]/*[name()='DIV'][1]/*[name()='A'][1]/*[name()='SPAN'][1],a:nth-child(1) > span:nth-child(1),2022-07-22T12:05:48.182Z,,104.0,311.0,SPAN,normi die norm,1504,TF_03.csv,Fiori,,,,,normi die norm
2,right_click,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][2]/*[name()='DIV'][2]/*[name()='UL'][1]/*[name()='DIV'][1]/*[name()='LI'][1]/*[name()='UL'][1]/*[name()='LI'][8]/*[name()='DIV'][1]/*[name()='A'][1]/*[name()='SPAN'][1],a:nth-child(1) > span:nth-child(1),2022-07-22T12:05:48.182Z,,104.0,311.0,SPAN,normi die norm,1504,TF_03.csv,Fiori,,,,,normi die norm
3,click,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][22]/*[name()='UL'][1]/*[name()='LI'][1]/*[name()='A'][1],li:nth-child(1) > a:nth-child(1),2022-07-22T12:05:50.361Z,,232.0,327.0,A,,1504,TF_03.csv,Fiori,,,,,
4,click,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][27]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='FORM'][1]/*[name()='DIV'][1]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][2]/*[name()='INPUT'][1],td:nth-child(1) > input:nth-child(1),2022-07-22T12:05:51.614Z,,899.0,219.0,INPUT,,1504,TF_03.csv,Fiori,,,,,
5,input,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][27]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='FORM'][1]/*[name()='DIV'][1]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][2]/*[name()='INPUT'][1],td:nth-child(1) > input:nth-child(1),2022-07-22T12:05:56.517Z,chapter one,1041.8333435058594,214.0,INPUT,,1504,TF_03.csv,Fiori,,,,,
6,click,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][27]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][2]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][2]/*[name()='EM'][1]/*[name()='BUTTON'][1],em:nth-child(1) > button:nth-child(1),2022-07-22T12:05:56.602Z,,1166.0,768.0,BUTTON,Übernehmen,1504,TF_03.csv,Fiori,,,,,Übernehmen
7,click,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][31]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][2]/*[name()='TD'][2]/*[name()='TEXTAREA'][1],td:nth-child(1) > textarea:nth-child(1),2022-07-22T12:06:02.046Z,,868.0,271.0,TEXTAREA,,1504,TF_03.csv,Fiori,,,,,
8,input,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][31]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][2]/*[name()='TD'][2]/*[name()='TEXTAREA'][1],td:nth-child(1) > textarea:nth-child(1),2022-07-22T12:06:09.018Z,this is the first chapter,1053.183349609375,276.1666717529297,TEXTAREA,,1504,TF_03.csv,Fiori,,,,,
9,click,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][31]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][2]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][2]/*[name()='EM'][1]/*[name()='BUTTON'][1],em:nth-child(1) > button:nth-child(1),2022-07-22T12:06:09.082Z,,1422.0,793.0,BUTTON,Übernehmen,1504,TF_03.csv,Fiori,,,,,Übernehmen
