approach;log;config;with_labels;precision;recall;F$_1$-score;ED;Seg. found;Seg. true;rand_mic;ari_mic;jaccard_mic;fowlkes_mallows_mic;rand_mac;ari_mac;jaccard_mac;fowlkes_mallows_mac;runtime;part;num_classes;sizeof_cooc;max_num_events;max_buffer_size;size_clust;size_full;avg_resp_seg;avg_resp_cat;obj_tp;obj_fp;obj_fn;obj_prec;obj_rec;obj_f1;obj_obj_relations_tp;obj_obj_relations_fp;obj_obj_relations_fn;obj_obj_relations_prec;obj_obj_relations_rec;obj_obj_relations_f1;obj_task_relations_tp;obj_task_relations_fp;obj_task_relations_fn;obj_task_relations_prec;obj_task_relations_rec;obj_task_relations_f1;label_prec;label_rec;label_f1;label_support;n;m
Ours old;L3.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.1-labels=None;FALSE;0.9170160755043468;0.9069264069264069;0.9079719925474543;0.2337739150504262;138;120;0.9056277056277057;0.7557750962973359;0.8320489920692464;0.8199496159121072;0.9236221305405692;0.794859804488406;0.8574319547543301;0.8456143267481538;13.286.331.968.000.000;full;38;8856;82;2272;48;1703141;0;0.002878487691668852;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0;0;0;0;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.1-labels=None;TRUE;0.9170160755043468;0.9069264069264069;0.9079719925474543;0.2337739150504262;138;120;0.9056277056277057;0.7557750962973359;0.8320489920692464;0.8199496159121072;0.9236221305405692;0.794859804488406;0.8574319547543301;0.8456143267481538;15.013.829.891.999.800;full;38;8856;82;2272;48;1703141;0;0.00330054344999553;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0.581140350877193;0.7083333333333334;0.6250343727657702;120;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=500-similarity_thresh=0.1-labels=None;FALSE;0.9222146413144644;0.9126984126984127;0.9134551306490722;0.2337739150504262;138;120;0.9119112736441256;0.7716875952849964;0.8415124030082081;0.831527076550108;0.9376917380725696;0.8323337318850563;0.8794530316269445;0.87369372076733;12.831.382.121.999.900;full;38;8856;82;2272;48;1703141;0;0.00309269471910248;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0;0;0;0;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=500-similarity_thresh=0.1-labels=None;TRUE;0.9222146413144644;0.9126984126984127;0.9134551306490722;0.2337739150504262;138;120;0.9119112736441256;0.7716875952849964;0.8415124030082081;0.831527076550108;0.9376917380725696;0.8323337318850563;0.8794530316269445;0.87369372076733;1.381.558.660.099.990;full;38;8856;82;2272;48;1703141;0;0.0033071575280956404;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0.581140350877193;0.7083333333333334;0.6250343727657702;120;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=1000-similarity_thresh=0.1-labels=None;FALSE;0.9419439123800099;0.937950937950938;0.9382442363282275;0.2337739150504262;138;120;0.9371622360792036;0.8358678782669496;0.8842625906207794;0.8782995364542384;1.0;1.0;1.0;1.0;11.971.149.347.000.100;full;38;8856;82;2272;48;1703141;0;0.0054646729512147964;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0;0;0;0;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=1000-similarity_thresh=0.1-labels=None;TRUE;0.9419439123800099;0.937950937950938;0.9382442363282275;0.2337739150504262;138;120;0.9371622360792036;0.8358678782669496;0.8842625906207794;0.8782995364542384;1.0;1.0;1.0;1.0;9.498.033.020.000.090;full;38;8856;82;2272;48;1703141;0;0.0040043470975622145;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0.581140350877193;0.7083333333333334;0.6250343727657702;120;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=0-similarity_thresh=0.1-labels=None;FALSE;0.7463048456963037;0.7092352092352092;0.7028446260494766;0.2337739150504262;138;120;0.7567141242231495;0.41135987280828396;0.55669517343641;0.5832022604567816;0.8085263937374378;0.5003184716166005;0.6082423445007398;0.6296711960001579;8.253.799.363.000.090;full;38;8856;82;2272;48;1703141;0;0.0025149284130477918;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0;0;0;0;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=0-similarity_thresh=0.1-labels=None;TRUE;0.7463048456963037;0.7092352092352092;0.7028446260494766;0.2337739150504262;138;120;0.7567141242231495;0.41135987280828396;0.55669517343641;0.5832022604567816;0.8085263937374378;0.5003184716166005;0.6082423445007398;0.6296711960001579;8.943.330.866.999.980;full;38;8856;82;2272;48;1703141;0;0.0026293622101393075;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0.581140350877193;0.7083333333333334;0.6250343727657702;120;0;0
Ours old;L2.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.1-labels=None;FALSE;0.918098851284312;0.8986613563447284;0.9002433698294874;0.056277458336800645;231;240;0.8870580267587718;0.7265208015342232;0.8198874651273872;0.8066814991161698;0.937888198757764;0.8472832244038622;0.8760658533385807;0.8906748467257541;12.357.355.858.100.000;full;117;8856;241;9312;48;11125862;0;0.0026286756147178947;994;116;104;0.8954954954954955;0.9052823315118397;0.9003623188405797;7605;0;155;1.0;0.9800257731958762;0.9899121379759194;994;116;104;0.8954954954954955;0.9052823315118397;0.9003623188405797;0;0;0;0;0;0
Ours old;L2.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.1-labels=None;TRUE;0.918098851284312;0.8986613563447284;0.9002433698294874;0.056277458336800645;231;240;0.8870580267587718;0.7265208015342232;0.8198874651273872;0.8066814991161698;0.937888198757764;0.8472832244038622;0.8760658533385807;0.8906748467257541;12.372.455.174.099.900;full;117;8856;241;9312;48;11125862;0;0.002504650389610736;994;116;104;0.8954954954954955;0.9052823315118397;0.9003623188405797;7605;0;155;1.0;0.9800257731958762;0.9899121379759194;994;116;104;0.8954954954954955;0.9052823315118397;0.9003623188405797;0.6580010371462104;0.775;0.707238732730388;240;0;0
