approach;log;config;with_labels;label;precision;recall;F$_1$-score;support;ED;Seg. found;Seg. true;rand_mic;ari_mic;jaccard_mic;fowlkes_mallows_mic;rand_mac;ari_mac;jaccard_mac;fowlkes_mallows_mac;runtime;part;num_classes;sizeof_cooc;max_num_events;max_buffer_size;size_clust;size_full;avg_resp_seg;avg_resp_cat;obj_tp;obj_fp;obj_fn;obj_prec;obj_rec;obj_f1;obj_obj_relations_tp;obj_obj_relations_fp;obj_obj_relations_fn;obj_obj_relations_prec;obj_obj_relations_rec;obj_obj_relations_f1;obj_task_relations_tp;obj_task_relations_fp;obj_task_relations_fn;obj_task_relations_prec;obj_task_relations_rec;obj_task_relations_f1;label_prec;label_rec;label_f1;label_support;n;m
Ours old;L3.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.1-labels=None;FALSE;TF_03.csv;0.9586206896551724;0.852760736196319;0.9025974025974026;326;0.2337739150504262;138;120;0.9056277056277057;0.7557750962973359;0.8320489920692464;0.8199496159121072;0.9236221305405692;0.794859804488406;0.8574319547543301;0.8456143267481538;13.286.331.968.000.000;full;38;8856;82;2272;48;1703141;0;0.002878487691668852;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0;0;0;0;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.1-labels=None;FALSE;TF_13.csv;0.9738562091503268;0.9003021148036254;0.9356357927786499;331;0.2337739150504262;138;120;0.9056277056277057;0.7557750962973359;0.8320489920692464;0.8199496159121072;0.9236221305405692;0.794859804488406;0.8574319547543301;0.8456143267481538;13.286.331.968.000.000;full;38;8856;82;2272;48;1703141;0;0.002878487691668852;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0;0;0;0;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.1-labels=None;FALSE;TF_04.csv;0.8073929961089494;0.9764705882352941;0.8839190628328009;425;0.2337739150504262;138;120;0.9056277056277057;0.7557750962973359;0.8320489920692464;0.8199496159121072;0.9236221305405692;0.794859804488406;0.8574319547543301;0.8456143267481538;13.286.331.968.000.000;full;38;8856;82;2272;48;1703141;0;0.002878487691668852;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0;0;0;0;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.1-labels=None;FALSE;TF_02.csv;0.9637681159420289;0.875;0.9172413793103448;304;0.2337739150504262;138;120;0.9056277056277057;0.7557750962973359;0.8320489920692464;0.8199496159121072;0.9236221305405692;0.794859804488406;0.8574319547543301;0.8456143267481538;13.286.331.968.000.000;full;38;8856;82;2272;48;1703141;0;0.002878487691668852;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0;0;0;0;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.1-labels=None;TRUE;TF_03.csv;0.9586206896551724;0.852760736196319;0.9025974025974026;326;0.2337739150504262;138;120;0.9056277056277057;0.7557750962973359;0.8320489920692464;0.8199496159121072;0.9236221305405692;0.794859804488406;0.8574319547543301;0.8456143267481538;15.013.829.891.999.800;full;38;8856;82;2272;48;1703141;0;0.00330054344999553;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0.581140350877193;0.7083333333333334;0.6250343727657702;120;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.1-labels=None;TRUE;TF_13.csv;0.9738562091503268;0.9003021148036254;0.9356357927786499;331;0.2337739150504262;138;120;0.9056277056277057;0.7557750962973359;0.8320489920692464;0.8199496159121072;0.9236221305405692;0.794859804488406;0.8574319547543301;0.8456143267481538;15.013.829.891.999.800;full;38;8856;82;2272;48;1703141;0;0.00330054344999553;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0.581140350877193;0.7083333333333334;0.6250343727657702;120;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.1-labels=None;TRUE;TF_04.csv;0.8073929961089494;0.9764705882352941;0.8839190628328009;425;0.2337739150504262;138;120;0.9056277056277057;0.7557750962973359;0.8320489920692464;0.8199496159121072;0.9236221305405692;0.794859804488406;0.8574319547543301;0.8456143267481538;15.013.829.891.999.800;full;38;8856;82;2272;48;1703141;0;0.00330054344999553;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0.581140350877193;0.7083333333333334;0.6250343727657702;120;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.1-labels=None;TRUE;TF_02.csv;0.9637681159420289;0.875;0.9172413793103448;304;0.2337739150504262;138;120;0.9056277056277057;0.7557750962973359;0.8320489920692464;0.8199496159121072;0.9236221305405692;0.794859804488406;0.8574319547543301;0.8456143267481538;15.013.829.891.999.800;full;38;8856;82;2272;48;1703141;0;0.00330054344999553;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0.581140350877193;0.7083333333333334;0.6250343727657702;120;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=500-similarity_thresh=0.1-labels=None;FALSE;TF_03.csv;0.9854545454545455;0.8312883435582822;0.9018302828618968;326;0.2337739150504262;138;120;0.9119112736441256;0.7716875952849964;0.8415124030082081;0.831527076550108;0.9376917380725696;0.8323337318850563;0.8794530316269445;0.87369372076733;12.831.382.121.999.900;full;38;8856;82;2272;48;1703141;0;0.00309269471910248;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0;0;0;0;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=500-similarity_thresh=0.1-labels=None;FALSE;TF_13.csv;0.9745222929936306;0.9244712990936556;0.9488372093023255;331;0.2337739150504262;138;120;0.9119112736441256;0.7716875952849964;0.8415124030082081;0.831527076550108;0.9376917380725696;0.8323337318850563;0.8794530316269445;0.87369372076733;12.831.382.121.999.900;full;38;8856;82;2272;48;1703141;0;0.00309269471910248;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0;0;0;0;0;0
