approach;log;config;with_labels;precision;recall;F$_1$-score;ED;Seg. found;Seg. true;rand_mic;ari_mic;jaccard_mic;fowlkes_mallows_mic;rand_mac;ari_mac;jaccard_mac;fowlkes_mallows_mac;runtime;part;num_classes;sizeof_cooc;max_num_events;max_buffer_size;size_clust;size_full;avg_resp_seg;avg_resp_cat;obj_tp;obj_fp;obj_fn;obj_prec;obj_rec;obj_f1;obj_obj_relations_tp;obj_obj_relations_fp;obj_obj_relations_fn;obj_obj_relations_prec;obj_obj_relations_rec;obj_obj_relations_f1;obj_task_relations_tp;obj_task_relations_fp;obj_task_relations_fn;obj_task_relations_prec;obj_task_relations_rec;obj_task_relations_f1;label_prec;label_rec;label_f1;label_support;n;m
Leno et al.;Reimbursement.csv;max_buffer_size=0-warm_up_events=0-similarity_thresh=0.0-labels=None;False;1.0;1.0;1.0;0.04674630176400854;51;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;37.781893733000004;full;45;8856;98;4696;48;4631268;0;0.0030723025294118645;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leno et al.;TF_04.csv;max_buffer_size=0-warm_up_events=0-similarity_thresh=0.0-labels=None;False;1.0;1.0;1.0;0.6774193548387096;93;30;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0032810559999987;full;6;8856;9;640;48;561526;0;0.0016051849784943784;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leno et al.;agostinelli40.csv;max_buffer_size=0-warm_up_events=0-similarity_thresh=0.0-labels=None;False;1.0;1.0;1.0;0.5;80;40;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;38.01175662600001;full;42;8856;74;2272;48;10217344;0;0.0017835158374995609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leno et al.;TF_13.csv;max_buffer_size=0-warm_up_events=0-similarity_thresh=0.0-labels=None;False;1.0;1.0;1.0;0.5;60;30;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9392247490000045;full;8;8856;10;360;48;419495;0;0.0016652740499997283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leno et al.;log3.csv;max_buffer_size=0-warm_up_events=0-similarity_thresh=0.0-labels=None;False;1.0;1.0;1.0;0.008946112540710064;1000;1000;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;83.282391363;full;15;8856;24;2272;48;12435329;0;0.0017588785939995546;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leno et al.;TF_02.csv;max_buffer_size=0-warm_up_events=0-similarity_thresh=0.0-labels=None;False;1.0;1.0;1.0;0.0;30;30;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.4683647509999957;full;8;8856;11;640;48;338666;0;0.0019201769333363928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leno et al.;TF_03.csv;max_buffer_size=0-warm_up_events=0-similarity_thresh=0.0-labels=None;False;1.0;1.0;1.0;0.0;30;30;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.866549593000002;full;8;8856;12;1176;48;375942;0;0.0021699439666652627;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leno et al.;StudentRecord.csv;max_buffer_size=0-warm_up_events=0-similarity_thresh=0.0-labels=None;False;1.0;1.0;1.0;0.1598131199995217;51;51;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;19.924431642000002;full;36;8856;52;2272;48;2573687;0;0.00174380535294154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leno et al.;L3.csv;max_buffer_size=0-warm_up_events=0-similarity_thresh=0.0-labels=None;False;0.500418928784781;0.5476190476190477;0.48001576695155;0.4777244333308155;90;120;0.589410348977136;0.17360887147434387;0.3465594743374497;0.47586291158194494;0.7220973782771536;0.39230483044836273;0.5564419119974675;0.6071804133104645;8.191193346999995;full;38;8856;99;4696;48;1703141;0;0.0024747525666649985;0;2;0;0.0;0;0;0;0;0;0;0;0;0;2;0;0.0;0;0;0;0;0;0;0;0
Leno et al.;L2.csv;max_buffer_size=0-warm_up_events=0-similarity_thresh=0.0-labels=None;False;0.5064440437094022;0.4385440867352583;0.35376338136224184;0.25650192595453125;101;240;0.4181230257387519;0.05446169427287288;0.23368629292592288;0.49709985877502755;0.7611881188118812;0.50069170059309;0.5330907514714605;0.6932627231664951;69.30526000799998;full;117;8856;764;36960;48;11125052;0;0.0023032621881182843;985;545;113;0.6437908496732027;0.8970856102003643;0.7496194824961948;7194;0;566;1.0;0.9270618556701031;0.962150595158486;985;545;113;0.6437908496732027;0.8970856102003643;0.7496194824961948;0;0;0;0;0;0
Leno et al.;L1.csv;max_buffer_size=0-warm_up_events=0-similarity_thresh=0.0-labels=None;False;0.2592431994053877;0.50915930650965;0.34355975315152065;0.3513308068237482;50;200;0.3796833392009104;0.0;0.2592431994053877;0.6161845009418124;1.0;1.0;1.0;1.0;50.86322188499997;full;69;8856;442;18520;48;6372001;0;0.002230525040000657;608;1583;14;0.2774988589685075;0.977491961414791;0.43227870600782087;2450;0;50;1.0;0.98;0.98989898989899;608;1583;14;0.2774988589685075;0.977491961414791;0.43227870600782087;0;0;0;0;0;0
