approach;log;config;with_labels;label;precision;recall;F$_1$-score;support;ED;Seg. found;Seg. true;rand_mic;ari_mic;jaccard_mic;fowlkes_mallows_mic;rand_mac;ari_mac;jaccard_mac;fowlkes_mallows_mac;runtime;part;num_classes;sizeof_cooc;max_num_events;max_buffer_size;size_clust;size_full;avg_resp_seg;avg_resp_cat;obj_tp;obj_fp;obj_fn;obj_prec;obj_rec;obj_f1;obj_obj_relations_tp;obj_obj_relations_fp;obj_obj_relations_fn;obj_obj_relations_prec;obj_obj_relations_rec;obj_obj_relations_f1;obj_task_relations_tp;obj_task_relations_fp;obj_task_relations_fn;obj_task_relations_prec;obj_task_relations_rec;obj_task_relations_f1;label_prec;label_rec;label_f1;label_support;n;m
Perfect segmentation;L3.csv;max_buffer_size=0-warm_up_events=0-similarity_thresh=0.0-labels=None;False;TF_03.csv;1.0;0.901840490797546;0.9483870967741935;326;0.0;120;120;0.9191762910174462;0.7902897260892865;0.8604939864345507;0.8451633746950105;0.9180672268907563;0.7796610169491526;0.8533705541770058;0.8341105233190395;8.490090789;full;38;8856;15;1176;48;1703141;0;0.0034054114333332388;0;30;0;0.0;0;0;0;0;0;0;0;0;0;30;0;0.0;0;0;0;0;0;0;0;0
Perfect segmentation;L3.csv;max_buffer_size=0-warm_up_events=0-similarity_thresh=0.0-labels=None;False;TF_13.csv;0.9537037037037037;0.9335347432024169;0.9435114503816794;331;0.0;120;120;0.9191762910174462;0.7902897260892865;0.8604939864345507;0.8451633746950105;0.9180672268907563;0.7796610169491526;0.8533705541770058;0.8341105233190395;8.490090789;full;38;8856;15;1176;48;1703141;0;0.0034054114333332388;0;30;0;0.0;0;0;0;0;0;0;0;0;0;30;0;0.0;0;0;0;0;0;0;0;0
Perfect segmentation;L3.csv;max_buffer_size=0-warm_up_events=0-similarity_thresh=0.0-labels=None;False;TF_04.csv;0.8167330677290837;0.9647058823529412;0.8845738942826321;425;0.0;120;120;0.9191762910174462;0.7902897260892865;0.8604939864345507;0.8451633746950105;0.9180672268907563;0.7796610169491526;0.8533705541770058;0.8341105233190395;8.490090789;full;38;8856;15;1176;48;1703141;0;0.0034054114333332388;0;30;0;0.0;0;0;0;0;0;0;0;0;0;30;0;0.0;0;0;0;0;0;0;0;0
Perfect segmentation;L3.csv;max_buffer_size=0-warm_up_events=0-similarity_thresh=0.0-labels=None;False;TF_02.csv;1.0;0.875;0.9333333333333333;304;0.0;120;120;0.9191762910174462;0.7902897260892865;0.8604939864345507;0.8451633746950105;0.9180672268907563;0.7796610169491526;0.8533705541770058;0.8341105233190395;8.490090789;full;38;8856;15;1176;48;1703141;0;0.0034054114333332388;0;30;0;0.0;0;0;0;0;0;0;0;0;0;30;0;0.0;0;0;0;0;0;0;0;0
Perfect segmentation;L3.csv;max_buffer_size=0-warm_up_events=0-similarity_thresh=0.0-labels=None;True;TF_03.csv;1.0;0.901840490797546;0.9483870967741935;326;0.0;120;120;0.9191762910174462;0.7902897260892865;0.8604939864345507;0.8451633746950105;0.9180672268907563;0.7796610169491526;0.8533705541770058;0.8341105233190395;8.386159937;full;38;8856;15;1176;48;1703141;0;0.0023560935250000804;0;30;0;0.0;0;0;0;0;0;0;0;0;0;30;0;0.0;0;0;0.625;0.75;0.6666666666666666;120;0;0
Perfect segmentation;L3.csv;max_buffer_size=0-warm_up_events=0-similarity_thresh=0.0-labels=None;True;TF_13.csv;0.9537037037037037;0.9335347432024169;0.9435114503816794;331;0.0;120;120;0.9191762910174462;0.7902897260892865;0.8604939864345507;0.8451633746950105;0.9180672268907563;0.7796610169491526;0.8533705541770058;0.8341105233190395;8.386159937;full;38;8856;15;1176;48;1703141;0;0.0023560935250000804;0;30;0;0.0;0;0;0;0;0;0;0;0;0;30;0;0.0;0;0;0.625;0.75;0.6666666666666666;120;0;0
Perfect segmentation;L3.csv;max_buffer_size=0-warm_up_events=0-similarity_thresh=0.0-labels=None;True;TF_04.csv;0.8167330677290837;0.9647058823529412;0.8845738942826321;425;0.0;120;120;0.9191762910174462;0.7902897260892865;0.8604939864345507;0.8451633746950105;0.9180672268907563;0.7796610169491526;0.8533705541770058;0.8341105233190395;8.386159937;full;38;8856;15;1176;48;1703141;0;0.0023560935250000804;0;30;0;0.0;0;0;0;0;0;0;0;0;0;30;0;0.0;0;0;0.625;0.75;0.6666666666666666;120;0;0
Perfect segmentation;L3.csv;max_buffer_size=0-warm_up_events=0-similarity_thresh=0.0-labels=None;True;TF_02.csv;1.0;0.875;0.9333333333333333;304;0.0;120;120;0.9191762910174462;0.7902897260892865;0.8604939864345507;0.8451633746950105;0.9180672268907563;0.7796610169491526;0.8533705541770058;0.8341105233190395;8.386159937;full;38;8856;15;1176;48;1703141;0;0.0023560935250000804;0;30;0;0.0;0;0;0;0;0;0;0;0;0;30;0;0.0;0;0;0.625;0.75;0.6666666666666666;120;0;0
Perfect segmentation;L2.csv;max_buffer_size=0-warm_up_events=0-similarity_thresh=0.0-labels=None;False;CopyPasteStuff;1.0;0.9834139599170698;0.9916376306620208;1447;0.0;240;240;0.9722242684640561;0.931192584369417;0.9548765533072613;0.9505100780055306;0.9776847977684798;0.9449956440500888;0.9532608695652175;0.9605860184046017;67.282686632;full;117;8856;74;4696;48;11125939;0;0.0018873122624994446;1025;54;73;0.9499536607970342;0.9335154826958105;0.9416628387689481;7760;0;0;1.0;1.0;1.0;1025;54;73;0.9499536607970342;0.9335154826958105;0.9416628387689481;0;0;0;0;0;0
Perfect segmentation;L2.csv;max_buffer_size=0-warm_up_events=0-similarity_thresh=0.0-labels=None;False;StudentRecord;1.0;0.9610136452241715;0.9801192842942346;1539;0.0;240;240;0.9722242684640561;0.931192584369417;0.9548765533072613;0.9505100780055306;0.9776847977684798;0.9449956440500888;0.9532608695652175;0.9605860184046017;67.282686632;full;117;8856;74;4696;48;11125939;0;0.0018873122624994446;1025;54;73;0.9499536607970342;0.9335154826958105;0.9416628387689481;7760;0;0;1.0;1.0;1.0;1025;54;73;0.9499536607970342;0.9335154826958105;0.9416628387689481;0;0;0;0;0;0
