approach;log;config;with_labels;label;precision;recall;F$_1$-score;support;ED;Seg. found;Seg. true;rand_mic;ari_mic;jaccard_mic;fowlkes_mallows_mic;rand_mac;ari_mac;jaccard_mac;fowlkes_mallows_mac;runtime;part;num_classes;sizeof_cooc;max_num_events;max_buffer_size;size_clust;size_full;avg_resp_seg;avg_resp_cat;obj_tp;obj_fp;obj_fn;obj_prec;obj_rec;obj_f1;obj_obj_relations_tp;obj_obj_relations_fp;obj_obj_relations_fn;obj_obj_relations_prec;obj_obj_relations_rec;obj_obj_relations_f1;obj_task_relations_tp;obj_task_relations_fp;obj_task_relations_fn;obj_task_relations_prec;obj_task_relations_rec;obj_task_relations_f1;label_prec;label_rec;label_f1;label_support;n;m
Ours;L3.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.1-labels=None;FALSE;TF_03.csv;0.48881239242685026;0.8711656441717791;0.6262403528114664;326;0.10832242945253065;102;120;0.7208662176171201;0.3100075816006244;0.46472772847554145;0.5037099640132968;0.7439332168510969;0.3318754077951503;0.4798146053625999;0.5045115634076014;12.390.078.909.000.000;full;38;8856;57;2272;48;1703141;0;0.002889301611114408;0;51;0;0.0;0;0;0;0;0;0;0;0;0;51;0;0.0;0;0;0;0;0;0;5;5
Ours;L3.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.1-labels=None;FALSE;TF_13.csv;0.7572254335260116;0.3957703927492447;0.5198412698412698;331;0.10832242945253065;102;120;0.7208662176171201;0.3100075816006244;0.46472772847554145;0.5037099640132968;0.7439332168510969;0.3318754077951503;0.4798146053625999;0.5045115634076014;12.390.078.909.000.000;full;38;8856;57;2272;48;1703141;0;0.002889301611114408;0;51;0;0.0;0;0;0;0;0;0;0;0;0;51;0;0.0;0;0;0;0;0;0;5;5
Ours;L3.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.1-labels=None;FALSE;TF_04.csv;0.7880952380952381;0.7788235294117647;0.783431952662722;425;0.10832242945253065;102;120;0.7208662176171201;0.3100075816006244;0.46472772847554145;0.5037099640132968;0.7439332168510969;0.3318754077951503;0.4798146053625999;0.5045115634076014;12.390.078.909.000.000;full;38;8856;57;2272;48;1703141;0;0.002889301611114408;0;51;0;0.0;0;0;0;0;0;0;0;0;0;51;0;0.0;0;0;0;0;0;0;5;5
Ours;L3.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.1-labels=None;FALSE;TF_02.csv;0.6273584905660378;0.4375;0.5155038759689923;304;0.10832242945253065;102;120;0.7208662176171201;0.3100075816006244;0.46472772847554145;0.5037099640132968;0.7439332168510969;0.3318754077951503;0.4798146053625999;0.5045115634076014;12.390.078.909.000.000;full;38;8856;57;2272;48;1703141;0;0.002889301611114408;0;51;0;0.0;0;0;0;0;0;0;0;0;0;51;0;0.0;0;0;0;0;0;0;5;5
Ours;L3.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.1-labels=None;TRUE;TF_03.csv;0.48881239242685026;0.8711656441717791;0.6262403528114664;326;0.10832242945253065;102;120;0.7208662176171201;0.3100075816006244;0.46472772847554145;0.5037099640132968;0.7439332168510969;0.3318754077951503;0.4798146053625999;0.5045115634076014;13.585.409.624.000.000;full;38;8856;57;2272;48;1703141;0;0.0029015713444651837;0;51;0;0.0;0;0;0;0;0;0;0;0;0;51;0;0.0;0;0;0.5419850288950083;0.65;0.5707328935390141;120;5;5
Ours;L3.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.1-labels=None;TRUE;TF_13.csv;0.7572254335260116;0.3957703927492447;0.5198412698412698;331;0.10832242945253065;102;120;0.7208662176171201;0.3100075816006244;0.46472772847554145;0.5037099640132968;0.7439332168510969;0.3318754077951503;0.4798146053625999;0.5045115634076014;13.585.409.624.000.000;full;38;8856;57;2272;48;1703141;0;0.0029015713444651837;0;51;0;0.0;0;0;0;0;0;0;0;0;0;51;0;0.0;0;0;0.5419850288950083;0.65;0.5707328935390141;120;5;5
Ours;L3.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.1-labels=None;TRUE;TF_04.csv;0.7880952380952381;0.7788235294117647;0.783431952662722;425;0.10832242945253065;102;120;0.7208662176171201;0.3100075816006244;0.46472772847554145;0.5037099640132968;0.7439332168510969;0.3318754077951503;0.4798146053625999;0.5045115634076014;13.585.409.624.000.000;full;38;8856;57;2272;48;1703141;0;0.0029015713444651837;0;51;0;0.0;0;0;0;0;0;0;0;0;0;51;0;0.0;0;0;0.5419850288950083;0.65;0.5707328935390141;120;5;5
Ours;L3.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.1-labels=None;TRUE;TF_02.csv;0.6273584905660378;0.4375;0.5155038759689923;304;0.10832242945253065;102;120;0.7208662176171201;0.3100075816006244;0.46472772847554145;0.5037099640132968;0.7439332168510969;0.3318754077951503;0.4798146053625999;0.5045115634076014;13.585.409.624.000.000;full;38;8856;57;2272;48;1703141;0;0.0029015713444651837;0;51;0;0.0;0;0;0;0;0;0;0;0;0;51;0;0.0;0;0;0.5419850288950083;0.65;0.5707328935390141;120;5;5
Ours;L3.csv;max_buffer_size=250-warm_up_events=500-similarity_thresh=0.1-labels=None;FALSE;TF_03.csv;0.4763705103969754;0.7730061349693251;0.5894736842105263;326;0.10832242945253065;102;120;0.7251295836133381;0.3043488797112718;0.4453948898653295;0.49268248597148573;0.7460687245195108;0.3284770445569778;0.45215158255815696;0.4984809155008105;14.132.286.568.000.100;full;38;8856;57;2272;48;1703141;0;0.003976091842855567;0;51;0;0.0;0;0;0;0;0;0;0;0;0;51;0;0.0;0;0;0;0;0;0;5;5
Ours;L3.csv;max_buffer_size=250-warm_up_events=500-similarity_thresh=0.1-labels=None;FALSE;TF_13.csv;0.6390243902439025;0.3957703927492447;0.48880597014925364;331;0.10832242945253065;102;120;0.7251295836133381;0.3043488797112718;0.4453948898653295;0.49268248597148573;0.7460687245195108;0.3284770445569778;0.45215158255815696;0.4984809155008105;14.132.286.568.000.100;full;38;8856;57;2272;48;1703141;0;0.003976091842855567;0;51;0;0.0;0;0;0;0;0;0;0;0;0;51;0;0.0;0;0;0;0;0;0;5;5
