approach;log;config;with_labels;precision;recall;F$_1$-score;ED;Seg. found;Seg. true;rand_mic;ari_mic;jaccard_mic;fowlkes_mallows_mic;rand_mac;ari_mac;jaccard_mac;fowlkes_mallows_mac;runtime;part;num_classes;sizeof_cooc;max_num_events;max_buffer_size;size_clust;size_full;avg_resp_seg;avg_resp_cat;obj_tp;obj_fp;obj_fn;obj_prec;obj_rec;obj_f1;obj_obj_relations_tp;obj_obj_relations_fp;obj_obj_relations_fn;obj_obj_relations_prec;obj_obj_relations_rec;obj_obj_relations_f1;obj_task_relations_tp;obj_task_relations_fp;obj_task_relations_fn;obj_task_relations_prec;obj_task_relations_rec;obj_task_relations_f1;label_prec;label_rec;label_f1;label_support;n;m
Urabe et al.;Reimbursement.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;1.0;1.0;1.0;0.5800990004081957;60;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;47.029527036;full;45;8856;362;18520;48;4629825;0;0.004305482641025986;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;1.0;1.0;1.0;0.36897415965440816;33;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;36.601973835;full;45;8856;635;18520;48;4629825;0;0.002306135999999372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;1.0;1.0;1.0;0.35296449441478783;31;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;37.781074797;full;45;8856;635;18520;48;4629825;0;0.0027120689523803506;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;1.0;1.0;1.0;0.3263707931130877;29;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;36.94980060500001;full;45;8856;635;18520;48;4629825;0;0.0024601092380943817;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Urabe et al.;agostinelli40.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;1.0;1.0;1.0;0.7611179188381196;78;40;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;27.956761470000004;full;42;8856;66;2272;48;10178227;0;0.001985976410256358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Urabe et al.;agostinelli40.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;1.0;1.0;1.0;0.7478825849866574;78;40;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;27.511579711999985;full;42;8856;62;2272;48;10178162;0;0.00201085838461833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Urabe et al.;agostinelli40.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;1.0;1.0;1.0;0.6990393952831193;78;40;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;27.63940334299997;full;42;8856;59;2272;48;10178123;0;0.0020318348717966892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Urabe et al.;agostinelli40.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;1.0;1.0;1.0;0.7266440660725666;78;40;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;26.699243583999987;full;42;8856;53;2272;48;10178084;0;0.0019632976666679124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Urabe et al.;agostinelli40.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;1.0;1.0;1.0;0.7621184163054863;78;40;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;27.331250204000014;full;42;8856;66;2272;48;10178240;0;0.002129485256406182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Urabe et al.;agostinelli40.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;1.0;1.0;1.0;0.49192112738880234;39;40;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;27.07684905800005;full;42;8856;74;2272;48;10178006;0;0.002071268950001581;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
