approach;log;config;with_labels;precision;recall;F$_1$-score;ED;Seg. found;Seg. true;rand_mic;ari_mic;jaccard_mic;fowlkes_mallows_mic;rand_mac;ari_mac;jaccard_mac;fowlkes_mallows_mac;runtime;part;num_classes;sizeof_cooc;max_num_events;max_buffer_size;size_clust;size_full;avg_resp_seg;avg_resp_cat;obj_tp;obj_fp;obj_fn;obj_prec;obj_rec;obj_f1;obj_obj_relations_tp;obj_obj_relations_fp;obj_obj_relations_fn;obj_obj_relations_prec;obj_obj_relations_rec;obj_obj_relations_f1;obj_task_relations_tp;obj_task_relations_fp;obj_task_relations_fn;obj_task_relations_prec;obj_task_relations_rec;obj_task_relations_f1;label_prec;label_rec;label_f1;label_support
Ours;L3.csv;max_buffer_size=250-warm_up_events=0-similarity_thresh=0.3-labels=None;False;0.9077416699751932;0.896028880866426;0.896202827474096;0.16725545077817805;132;120;0.9008660086392187;0.7395068441764825;0.8124444482897046;0.806107740112861;0.9293314827665973;0.8151913018162217;0.8729227761485826;0.8630359770416062;19.223286304;full;38;8856;29;2272;48;1703132;0.013554155488095217;0.0036856181893939162;0;47;0;0.0;0;0;0;0;0;0;0;0;0;47;0;0.0;0;0;0;0;0;0
Ours;L3.csv;max_buffer_size=250-warm_up_events=100-similarity_thresh=0.3-labels=None;False;0.9143219640768704;0.9104693140794223;0.910105252713834;0.16725545077817805;132;120;0.9125727760272114;0.7715933767912709;0.8373402422053176;0.8305710598456679;0.936502428868841;0.8311929514523622;0.8787235684519216;0.8735924866606417;22.761728880999996;full;38;8856;29;2272;48;1703132;0.012398435220238055;0.0027937902539681503;0;47;0;0.0;0;0;0;0;0;0;0;0;0;47;0;0.0;0;0;0;0;0;0
Ours;L3.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.3-labels=None;False;0.9655702300263151;0.9653429602888086;0.9650353887886489;0.16725545077817805;132;120;0.9663195676217108;0.9110872160301876;0.9329551192938409;0.9336563612093377;1.0;1.0;1.0;1.0;20.020984428999995;full;38;8856;29;2272;48;1703132;0.012154868303571296;0.0028992882522519284;0;47;0;0.0;0;0;0;0;0;0;0;0;0;47;0;0.0;0;0;0;0;0;0
Ours;L3.csv;max_buffer_size=250-warm_up_events=500-similarity_thresh=0.3-labels=None;False;0.9655702300263151;0.9653429602888086;0.9650353887886489;0.16725545077817805;132;120;0.9663195676217108;0.9110872160301876;0.9329551192938409;0.9336563612093377;1.0;1.0;1.0;1.0;20.753428080000006;full;38;8856;29;2272;48;1703132;0.012242002482142937;0.0030923276823529022;0;47;0;0.0;0;0;0;0;0;0;0;0;0;47;0;0.0;0;0;0;0;0;0
Ours;L3.csv;max_buffer_size=250-warm_up_events=1000-similarity_thresh=0.3-labels=None;False;0.9655702300263151;0.9653429602888086;0.9650353887886489;0.16725545077817805;132;120;0.9663195676217108;0.9110872160301876;0.9329551192938409;0.9336563612093377;1.0;1.0;1.0;1.0;17.368132648;full;38;8856;29;2272;48;1703132;0.012675180726189847;0.0037401578461523054;0;47;0;0.0;0;0;0;0;0;0;0;0;0;47;0;0.0;0;0;0;0;0;0
Ours;L3.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;0.9655702300263151;0.9653429602888086;0.9650353887886489;0.16725545077817805;132;120;0.9663195676217108;0.9110872160301876;0.9329551192938409;0.9336563612093377;1.0;1.0;1.0;1.0;16.879017035000004;full;38;8856;29;2272;48;1703132;0.012443260726190598;0.03151993549998622;0;47;0;0.0;0;0;0;0;0;0;0;0;0;47;0;0.0;0;0;0;0;0;0
Ours;L3.csv;max_buffer_size=250-warm_up_events=0-similarity_thresh=0.3-labels=None;True;0.9077416699751932;0.896028880866426;0.896202827474096;0.16725545077817805;132;120;0.9008660086392187;0.7395068441764825;0.8124444482897046;0.806107740112861;0.9293314827665973;0.8151913018162217;0.8729227761485826;0.8630359770416062;17.64687797100001;full;38;8856;29;2272;48;1703132;0.012594715720237187;0.002884348893938219;0;47;0;0.0;0;0;0;0;0;0;0;0;0;47;0;0.0;0;0;0.625;0.75;0.6666666666666666;120
Ours;L3.csv;max_buffer_size=250-warm_up_events=100-similarity_thresh=0.3-labels=None;True;0.9143219640768704;0.9104693140794223;0.910105252713834;0.16725545077817805;132;120;0.9125727760272114;0.7715933767912709;0.8373402422053176;0.8305710598456679;0.936502428868841;0.8311929514523622;0.8787235684519216;0.8735924866606417;22.430845065;full;38;8856;29;2272;48;1799483;0.0120797799940467;0.002630724301587816;0;47;0;0.0;0;0;0;0;0;0;0;0;0;47;0;0.0;0;0;0.625;0.75;0.6666666666666666;120
Ours;L3.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.3-labels=None;True;0.9655702300263151;0.9653429602888086;0.9650353887886489;0.16725545077817805;132;120;0.9663195676217108;0.9110872160301876;0.9329551192938409;0.9336563612093377;1.0;1.0;1.0;1.0;19.582127998000004;full;38;8856;29;2272;48;1799483;0.01198744848809478;0.0030401005675667744;0;47;0;0.0;0;0;0;0;0;0;0;0;0;47;0;0.0;0;0;0.625;0.75;0.6666666666666666;120
Ours;L3.csv;max_buffer_size=250-warm_up_events=500-similarity_thresh=0.3-labels=None;True;0.9655702300263151;0.9653429602888086;0.9650353887886489;0.16725545077817805;132;120;0.9663195676217108;0.9110872160301876;0.9329551192938409;0.9336563612093377;1.0;1.0;1.0;1.0;20.70841056399999;full;38;8856;29;2272;48;1799483;0.011921752029761328;0.002939001435293462;0;47;0;0.0;0;0;0;0;0;0;0;0;0;47;0;0.0;0;0;0.625;0.75;0.6666666666666666;120
Ours;L3.csv;max_buffer_size=250-warm_up_events=1000-similarity_thresh=0.3-labels=None;True;0.9655702300263151;0.9653429602888086;0.9650353887886489;0.16725545077817805;132;120;0.9663195676217108;0.9110872160301876;0.9329551192938409;0.9336563612093377;1.0;1.0;1.0;1.0;17.06262639100001;full;38;8856;29;2272;48;1799483;0.012309783630952677;0.00378404284615222;0;47;0;0.0;0;0;0;0;0;0;0;0;0;47;0;0.0;0;0;0.625;0.75;0.6666666666666666;120
Ours;L3.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;True;0.9655702300263151;0.9653429602888086;0.9650353887886489;0.16725545077817805;132;120;0.9663195676217108;0.9110872160301876;0.9329551192938409;0.9336563612093377;1.0;1.0;1.0;1.0;16.758154898000015;full;38;8856;29;2272;48;1799483;0.01233806921428822;0.03456456900002536;0;47;0;0.0;0;0;0;0;0;0;0;0;0;47;0;0.0;0;0;0.625;0.75;0.6666666666666666;120
Ours;L2.csv;max_buffer_size=250-warm_up_events=0-similarity_thresh=0.3-labels=None;False;0.9620795452392906;0.9606063959278521;0.9606934878504251;0.04691829395734762;241;240;0.9565117249762094;0.8917260977513947;0.9243970292837763;0.9218552492608888;0.9727524204702628;0.9328672060395052;0.9452793015184614;0.9518827952104927;195.910687423;full;117;8856;149;9312;48;11126002;0.02013956244444621;0.0024009505352687466;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;7760;0;0;1.0;1.0;1.0;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;0;0;0;0
Ours;L2.csv;max_buffer_size=250-warm_up_events=100-similarity_thresh=0.3-labels=None;False;0.9620795452392906;0.9606063959278521;0.9606934878504251;0.04691829395734762;241;240;0.9565117249762094;0.8917260977513947;0.9243970292837763;0.9218552492608888;0.9727524204702628;0.9328672060395052;0.9452793015184614;0.9518827952104927;194.06941278099998;full;117;8856;149;9312;48;11126002;0.01986670873718128;0.002364077924998753;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;7760;0;0;1.0;1.0;1.0;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;0;0;0;0
Ours;L2.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.3-labels=None;False;0.9620795452392906;0.9606063959278521;0.9606934878504251;0.04691829395734762;241;240;0.9565117249762094;0.8917260977513947;0.9243970292837763;0.9218552492608888;0.9727524204702628;0.9328672060395052;0.9452793015184614;0.9518827952104927;240.156031064;full;117;8856;149;9312;48;11126002;0.02019116499786177;0.0023869072573849933;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;7760;0;0;1.0;1.0;1.0;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;0;0;0;0
