approach;log;config;with_labels;precision;recall;F$_1$-score;ED;Seg. found;Seg. true;rand_mic;ari_mic;jaccard_mic;fowlkes_mallows_mic;rand_mac;ari_mac;jaccard_mac;fowlkes_mallows_mac;runtime;part;num_classes;sizeof_cooc;max_num_events;max_buffer_size;size_clust;size_full;avg_resp_seg;avg_resp_cat;obj_tp;obj_fp;obj_fn;obj_prec;obj_rec;obj_f1;obj_obj_relations_tp;obj_obj_relations_fp;obj_obj_relations_fn;obj_obj_relations_prec;obj_obj_relations_rec;obj_obj_relations_f1;obj_task_relations_tp;obj_task_relations_fp;obj_task_relations_fn;obj_task_relations_prec;obj_task_relations_rec;obj_task_relations_f1;label_prec;label_rec;label_f1;label_support;n;m
Ours;Reimbursement.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;1.0;1.0;1.0;0.016098900195881425;50;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;129.262132521;full;45;8856;190;9312;48;4631268;0.04384569932653039;0.046180627499992966;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;TF_04.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;1.0;1.0;1.0;0.13964590964590964;30;30;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;5.862827635000002;full;6;8856;30;2272;48;561517;0.03231437239394226;0.005468116000002965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;agostinelli40.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;1.0;1.0;1.0;0.3707152202720293;80;40;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;168.52540195699999;full;42;8856;147;9312;48;10217318;0.19500415162025356;0.007653013999998848;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;TF_13.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;1.0;1.0;1.0;0.07350258437214958;26;30;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4.810776981000004;full;8;8856;34;2272;48;419495;0.048564371172411594;0.0038278700000091703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;log3.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;1.0;1.0;1.0;0.008946112540710064;1000;1000;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;245.775992766;full;15;8856;29;2272;48;12435329;0.028891715208651185;0.10495032849996733;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;TF_02.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;1.0;1.0;1.0;0.19607744107744107;30;30;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4.202857334999976;full;8;8856;22;1176;48;338657;0.026774473486465764;0.0045042600000329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;TF_03.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;1.0;1.0;1.0;0.5;60;30;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4.837738134999995;full;8;8856;13;1176;48;375942;0.020302045924245594;0.01107015666669516;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;StudentRecord.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;1.0;1.0;1.0;0.015292388944476957;50;51;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;54.77099220100001;full;36;8856;100;4696;48;2573687;0.029533056499996272;0.00505886033333051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;L3.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;0.9655702300263151;0.9653429602888086;0.9650353887886489;0.2675709660709661;150;120;0.9663195676217108;0.9110872160301876;0.9329551192938409;0.9336563612093377;1.0;1.0;1.0;1.0;16.226399008000044;full;38;8856;29;2272;48;1703132;0.022770520047617857;0.03362974949999398;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;L2.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;0.9836658134102654;0.9830696027442736;0.9831433594915501;0.04691829395734762;241;240;0.9824962136135722;0.9562704552512462;0.9669113642864899;0.9684003115043901;0.9948132780082988;0.9872853188518449;0.991742327759747;0.9909191413891434;197.239285031;full;117;8856;149;9312;48;11126026;0.03698749718375942;0.04554980249997698;1098;82;0;0.9305084745762712;1.0;0.9640035118525021;7760;0;0;1.0;1.0;1.0;1098;82;0;0.9305084745762712;1.0;0.9640035118525021;0;0;0;0;0;0
Ours;L1.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;0.9874503637365667;0.987078835459601;0.9871053139059315;0.03877571556013127;202;200;0.98128208137219;0.9601381360832404;0.9745591625497448;0.9751820190591263;0.9852224028372987;0.9683711968757059;0.9803921568627451;0.9801565697080529;133.37552651299995;full;69;8856;123;9312;48;6373518;0.026057107366586153;0.036834775500039996;622;81;0;0.8847795163584637;1.0;0.9388679245283019;2500;0;0;1.0;1.0;1.0;622;81;0;0.8847795163584637;1.0;0.9388679245283019;0;0;0;0;0;0
