approach;log;config;with_labels;precision;recall;F$_1$-score;ED;Seg. found;Seg. true;rand_mic;ari_mic;jaccard_mic;fowlkes_mallows_mic;rand_mac;ari_mac;jaccard_mac;fowlkes_mallows_mac;runtime;part;num_classes;sizeof_cooc;max_num_events;max_buffer_size;size_clust;size_full;avg_resp_seg;avg_resp_cat;obj_tp;obj_fp;obj_fn;obj_prec;obj_rec;obj_f1;obj_obj_relations_tp;obj_obj_relations_fp;obj_obj_relations_fn;obj_obj_relations_prec;obj_obj_relations_rec;obj_obj_relations_f1;obj_task_relations_tp;obj_task_relations_fp;obj_task_relations_fn;obj_task_relations_prec;obj_task_relations_rec;obj_task_relations_f1;label_prec;label_rec;label_f1;label_support;n;m
Ours;Reimbursement.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;1.0;1.0;1.0;0.016098900195881425;50;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;147.772328318;full;45;8856;190;9312;48;4631268;0.05156892673469435;0.0414081039999985;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;TF_04.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;1.0;1.0;1.0;0.13964590964590964;30;30;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;5.325296113000007;full;6;8856;30;2272;48;561517;0.032124016545450884;0.0055714055000066764;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;agostinelli40.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;1.0;1.0;1.0;0.3707152202720293;80;40;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;160.825838685;full;42;8856;147;9312;48;10217318;0.17419444111392596;0.008400535499987427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;TF_13.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;1.0;1.0;1.0;0.07350258437214958;26;30;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.1595326559999535;full;8;8856;34;2272;48;419495;0.031219835689653495;0.0032775923333285086;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;log3.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;1.0;1.0;1.0;0.5769204692329285;2359;1000;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;167.86185328799996;full;15;8856;14;1176;48;12435329;0.020122806075487956;0.13113831933331235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;TF_02.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;1.0;1.0;1.0;0.19607744107744107;30;30;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.9908836519999795;full;8;8856;22;1176;48;338657;0.019745817729730136;0.004095486499977596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;TF_03.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;1.0;1.0;1.0;0.2857142857142857;42;30;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.9697908680000182;full;8;8856;20;1176;48;375942;0.013930966772727172;0.004105829333335957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;StudentRecord.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;1.0;1.0;1.0;0.015292388944476957;50;51;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;48.66134309000006;full;36;8856;100;4696;48;2573687;0.02886788182653112;0.00549513166667263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;L3.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;0.9655702300263151;0.9653429602888086;0.9650353887886489;0.16725545077817805;132;120;0.9663195676217108;0.9110872160301876;0.9329551192938409;0.9336563612093377;1.0;1.0;1.0;1.0;15.550132250999923;full;38;8856;29;2272;48;1703132;0.02239556844643397;0.03251219700001684;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;L2.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;0.9836658134102654;0.9830696027442736;0.9831433594915501;0.38334456821728774;372;240;0.9824962136135722;0.9562704552512462;0.9669113642864899;0.9684003115043901;0.9959278903283773;0.9917105703263316;0.9946352428624397;0.9953111241557321;201.82472339599997;full;117;8856;149;9312;48;11126026;0.03707370642094332;0.053406984499986265;1098;28;0;0.9751332149200711;1.0;0.9874100719424461;7760;0;0;1.0;1.0;1.0;1098;28;0;0.9751332149200711;1.0;0.9874100719424461;0;0;0;0;0;0
Ours;L1.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;0.9874503637365667;0.987078835459601;0.9871053139059315;0.4232243982633374;336;200;0.98128208137219;0.9601381360832404;0.9745591625497448;0.9751820190591263;0.989907604832978;0.9797278889615041;0.9881456820016141;0.990550707245599;116.00058039300006;full;69;8856;123;9312;48;6373518;0.02273058032018269;0.0222831616666402;622;27;0;0.9583975346687211;1.0;0.9787568843430371;2500;0;0;1.0;1.0;1.0;622;27;0;0.9583975346687211;1.0;0.9787568843430371;0;0;0;0;0;0
