approach;log;config;precision;recall;F$_1$-score;ED;Seg. found;Seg. true;rand_mic;ari_mic;jaccard_mic;fowlkes_mallows_mic;rand_mac;ari_mac;jaccard_mac;fowlkes_mallows_mac;runtime;part;num_classes;sizeof_cooc;max_num_events;max_buffer_size;size_clust;size_full;avg_resp_seg;avg_resp_cat
Urabe et al.;L3.csv;N=5-M=5-t=0.1-w=1500-w=1500;0.1007434237202866;0.3174010455563854;0.15294268068193173;0.7012955838404583;21;120;0.25593581538550847;0.0;0.1007434237202866;0.5059009936593409;0.3904761904761905;0.0;0.32653061224489793;0.6248809410409238;0.463363269;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=5-M=10-t=0.1-w=1500-w=1500;0.1067998791285463;0.3268025078369906;0.16098835885177212;0.6775876020348458;31;120;0.25751920831028335;0.0;0.1067998791285463;0.5074635044121728;0.2623655913978495;0.0;0.1259105098855359;0.512216352138283;0.4873656149999981;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=5-M=15-t=0.1-w=1500-w=1500;0.10465569433628401;0.3235053235053235;0.15814926087203313;0.5991528776070653;34;120;0.25689773230756835;0.0;0.10465569433628401;0.5068507988625137;0.32085561497326204;0.0;0.25;0.5664411840370208;0.4591364100000028;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=5-M=20-t=0.1-w=1500-w=1500;0.10638711421602784;0.3261703760552571;0.16044260396236606;0.6423328323006114;31;120;0.25763068329849703;0.0;0.10638711421602784;0.507573328001479;0.33763440860215055;0.0;0.26638917793964617;0.5810631709221903;0.4759920520000023;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=10-M=5-t=0.1-w=1500-w=1500;0.10852421233655157;0.3294301327088212;0.16326425837125375;0.6656902940224684;24;120;0.25806742779078845;0.0;0.10852421233655157;0.5080033737986279;0.3804347826086957;0.0;0.29340277777777773;0.6167939547439613;0.44691056199999935;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=10-M=10-t=0.1-w=1500-w=1500;0.10477276563557697;0.32368621477532367;0.1583045354194621;0.6270141230223002;33;120;0.25722024594579534;0.0;0.10477276563557697;0.5071688534854988;0.2803030303030303;0.0;0.1322314049586777;0.5294365215047317;0.46109089300000505;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=10-M=15-t=0.1-w=1500-w=1500;0.10541406645302748;0.3246753246753247;0.1591545709192768;0.6038690768771365;39;120;0.25737250696775793;0.0;0.10541406645302748;0.5073189400838075;0.27125506072874495;0.0;0.16831032215647598;0.5208215248323987;0.46547967200000073;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=10-M=20-t=0.1-w=1500-w=1500;0.10638711421602784;0.3261703760552571;0.16044260396236606;0.6602464977173491;29;120;0.25763068329849703;0.0;0.10638711421602784;0.507573328001479;0.3522167487684729;0.0;0.267538644470868;0.593478515844064;0.4957709490000042;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=15-M=5-t=0.1-w=1500-w=1500;0.1088691129548458;0.3299531981279251;0.16371871297139276;0.6613621923775884;18;120;0.2581787580636715;0.0;0.1088691129548458;0.5081129382958788;0.5359477124183006;0.0;0.5216049382716049;0.7320844981409595;0.4956753119999888;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=15-M=10-t=0.1-w=1500-w=1500;0.10714471871169275;0.3273296789350039;0.16144401863696947;0.6887331974798507;22;120;0.2576277177848749;0.0;0.10714471871169275;0.5075704067268647;0.329004329004329;0.0;0.20661157024793386;0.5735889896121865;0.46654989300000693;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=15-M=15-t=0.1-w=1500-w=1500;0.10611024992052129;0.32574568288854006;0.1600763272927698;0.666198683765447;27;120;0.2573039125614594;0.0;0.10611024992052129;0.5072513307636161;0.2934472934472934;0.0;0.19753086419753085;0.5417077564954128;0.5061018109999793;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=15-M=20-t=0.1-w=1500-w=1500;0.10638711421602784;0.3261703760552571;0.16044260396236606;0.6619572911091389;26;120;0.25763068329849703;0.0;0.10638711421602784;0.507573328001479;0.3723076923076923;0.0;0.28994082840236685;0.610170215847752;0.586024574999982;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=20-M=5-t=0.1-w=1500-w=1500;0.10312975080970323;0.32113821138211385;0.15612257661038148;0.8239659591235244;8;120;0.25648455019944827;0.0;0.10312975080970323;0.5064430374676389;0.39285714285714285;0.0;0.390625;0.6267831705280087;0.4717358860000047;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=20-M=10-t=0.1-w=1500-w=1500;0.10714471871169275;0.3273296789350039;0.16144401863696947;0.6862129374091174;18;120;0.2576277177848749;0.0;0.10714471871169275;0.5075704067268647;0.3790849673202614;0.0;0.30864197530864196;0.6156987634551992;0.47766303099999163;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=20-M=15-t=0.1-w=1500-w=1500;0.10611024992052129;0.32574568288854006;0.1600763272927698;0.6841187819532863;21;120;0.2573039125614594;0.0;0.10611024992052129;0.5072513307636161;0.34285714285714286;0.0;0.2743764172335601;0.5855400437691199;0.49682133000001727;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=20-M=20-t=0.1-w=1500-w=1500;0.10507595139655364;0.3241542092840283;0.1587065172014494;0.7225763515635715;18;120;0.25698532372674504;0.0;0.10507595139655364;0.5069371989968235;0.5228758169934641;0.0;0.5216049382716049;0.7231015260621872;0.4948645830000089;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=5-M=5-t=0.1-w=1500-w=1500;0.8784254581510909;0.879101323545768;0.877589505420462;0.45799582891488383;234;240;0.8932848062498291;0.7353522076706519;0.7872602521769134;0.8094754577314878;0.9843732805106196;0.9612223893509472;0.9747596153846154;0.9721056439033001;2.9964866830000005;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=5-M=10-t=0.1-w=1500-w=1500;0.8394349773780345;0.8430892499443579;0.8404595893078306;0.5581073086591575;220;240;0.8716626035850487;0.6826757328676651;0.7367106802092697;0.7720046330432877;0.8180987961809879;0.5364643008934015;0.6718196429142169;0.6610868938675013;3.3094181199999753;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=5-M=15-t=0.1-w=1500-w=1500;0.8076033322017631;0.8067030397505845;0.8011026588676421;0.5283563330312171;219;240;0.8439903195784022;0.6144858615957891;0.6843488344129787;0.7231094047864464;0.8531691173390307;0.6249532406634641;0.6968729660891;0.7252942445571922;3.3046233719999805;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=5-M=20-t=0.1-w=1500-w=1500;0.5797828495847773;0.6931127616475354;0.6294455500236669;0.5525976877548078;146;240;0.7378891583771479;0.41017687802122543;0.5059904311514725;0.6051219886054019;0.8484648086915446;0.6559652203162472;0.629317945576716;0.7710963150018652;3.586641539000027;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=10-M=5-t=0.1-w=1500-w=1500;0.8699701485537654;0.8682015348682015;0.8671164419911731;0.46968521573110156;220;240;0.8761369947379093;0.6955572080063487;0.7679378661428077;0.7821817679812089;0.9880448318804483;0.9709980860020919;0.9820116054158607;0.9794386923057905;4.001567474000012;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=10-M=10-t=0.1-w=1500-w=1500;0.8399859880340662;0.8405297128867126;0.8393711277335697;0.5808355059411527;221;240;0.8668266880490904;0.6691996479991053;0.7326130275514131;0.7615943310296662;0.8722336487042369;0.67846479260666;0.7526980022778342;0.7664492492977961;3.4187520699999823;full;0;0;0;0;0;0;0;0
