approach;log;config;with_labels;precision;recall;F$_1$-score;ED;Seg. found;Seg. true;rand_mic;ari_mic;jaccard_mic;fowlkes_mallows_mic;rand_mac;ari_mac;jaccard_mac;fowlkes_mallows_mac;runtime;part;num_classes;sizeof_cooc;max_num_events;max_buffer_size;size_clust;size_full;avg_resp_seg;avg_resp_cat;obj_tp;obj_fp;obj_fn;obj_prec;obj_rec;obj_f1;obj_obj_relations_tp;obj_obj_relations_fp;obj_obj_relations_fn;obj_obj_relations_prec;obj_obj_relations_rec;obj_obj_relations_f1;obj_task_relations_tp;obj_task_relations_fp;obj_task_relations_fn;obj_task_relations_prec;obj_task_relations_rec;obj_task_relations_f1;label_prec;label_rec;label_f1;label_support;n;m
Ours;Reimbursement.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;1.0;1.0;1.0;0.016098900195881425;50;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;125.331077383;full;45;8856;190;9312;48;4631268;0.022548824867346384;0.04089887950000559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;TF_04.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;1.0;1.0;1.0;0.13964590964590964;30;30;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4.6774913529999935;full;6;8856;30;2272;48;561517;0.01668131148484821;0.0049692480000089745;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;agostinelli40.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;1.0;1.0;1.0;0.05373935579415032;40;40;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;69.150705821;full;42;8856;147;9312;48;5700938;0.08531130782051395;0.0043391210000010005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;TF_13.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;1.0;1.0;1.0;0.07350258437214958;26;30;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.8077555680000046;full;8;8856;34;2272;48;419495;0.01740099417240956;0.0035739316666649756;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;log3.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;1.0;1.0;1.0;0.008946112540710064;1000;1000;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;163.52768572999997;full;15;8856;29;2272;48;12435329;0.012055199996183355;0.10232868150001195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;TF_02.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;1.0;1.0;1.0;0.19607744107744107;30;30;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.008989636000024;full;8;8856;22;1176;48;338657;0.011997560972970958;0.005367380499990304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;TF_03.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;1.0;1.0;1.0;0.2857142857142857;42;30;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.728225965999968;full;8;8856;20;1176;48;375942;0.005930496075759458;0.004534146999996362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;StudentRecord.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;1.0;1.0;1.0;0.015292388944476957;50;51;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;48.18754520800002;full;36;8856;100;4696;48;2573687;0.01389126493877681;0.004476745666674257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;L3.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;0.9655702300263151;0.9653429602888086;0.9650353887886489;0.16725545077817805;132;120;0.9663195676217108;0.9110872160301876;0.9329551192938409;0.9336563612093377;1.0;1.0;1.0;1.0;14.409377404999987;full;38;8856;29;2272;48;1703132;0.011562991166669806;0.04201423399999271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;L2.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;0.9836658134102654;0.9830696027442736;0.9831433594915501;0.04691829395734762;241;240;0.9824962136135722;0.9562704552512462;0.9669113642864899;0.9684003115043901;0.9948132780082988;0.9872853188518449;0.991742327759747;0.9909191413891434;188.59075051499997;full;117;8856;149;9312;48;11126026;0.019241445705129947;0.04006685550001521;1098;82;0;0.9305084745762712;1.0;0.9640035118525021;7760;0;0;1.0;1.0;1.0;1098;82;0;0.9305084745762712;1.0;0.9640035118525021;0;0;0;0;0;0
Ours;L1.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;0.9874503637365667;0.987078835459601;0.9871053139059315;0.03877571556013127;202;200;0.98128208137219;0.9601381360832404;0.9745591625497448;0.9751820190591263;0.9852224028372987;0.9683711968757059;0.9803921568627451;0.9801565697080529;114.46392453499993;full;69;8856;123;9312;48;6374661;0.012156545886316724;0.026024950500016075;622;81;0;0.8847795163584637;1.0;0.9388679245283019;2500;0;0;1.0;1.0;1.0;622;81;0;0.8847795163584637;1.0;0.9388679245283019;0;0;0;0;0;0
