approach;log;config;precision;recall;F$_1$-score;ED;Seg. found;Seg. true;rand_mic;ari_mic;jaccard_mic;fowlkes_mallows_mic;rand_mac;ari_mac;jaccard_mac;fowlkes_mallows_mac;runtime;part;num_classes;sizeof_cooc;max_num_events;max_buffer_size;size_clust;size_full;avg_resp_seg;avg_resp_cat
Urabe et al.;L3.csv;N=5-M=5-t=0.1-w=1500-w=1500;0.1007434237202866;0.3174010455563854;0.15294268068193173;0.7012955838404583;21;120;0.25593581538550847;0.0;0.1007434237202866;0.5059009936593409;0.3904761904761905;0.0;0.32653061224489793;0.6248809410409238;0.580037377;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=5-M=10-t=0.1-w=1500-w=1500;0.1067998791285463;0.3268025078369906;0.16098835885177212;0.6775876020348458;31;120;0.25751920831028335;0.0;0.1067998791285463;0.5074635044121728;0.2623655913978495;0.0;0.1259105098855359;0.512216352138283;0.6036669699999999;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=5-M=15-t=0.1-w=1500-w=1500;0.10465569433628401;0.3235053235053235;0.15814926087203313;0.5991528776070653;34;120;0.25689773230756835;0.0;0.10465569433628401;0.5068507988625137;0.32085561497326204;0.0;0.25;0.5664411840370208;0.561847781;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=5-M=20-t=0.1-w=1500-w=1500;0.10638711421602784;0.3261703760552571;0.16044260396236606;0.6423328323006114;31;120;0.25763068329849703;0.0;0.10638711421602784;0.507573328001479;0.33763440860215055;0.0;0.26638917793964617;0.5810631709221903;0.5693837649999995;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=5-M=25-t=0.1-w=1500-w=1500;0.10542069637277006;0.324685534591195;0.15916335404885879;0.6709146487981746;26;120;0.25709093518202375;0.0;0.10542069637277006;0.5070413545087065;0.3446153846153846;0.0;0.28994082840236685;0.5870395085642742;0.5831736129999996;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=5-M=30-t=0.1-w=1500-w=1500;0.1047163470253643;0.32359905288082086;0.15822970981650156;0.6892744639904139;25;120;0.2568480980934177;0.0;0.1047163470253643;0.5068018331590936;0.4533333333333333;0.0;0.4096;0.6733003292241385;0.5912982380000003;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=5-M=35-t=0.1-w=1500-w=1500;0.10571522544510763;0.3251387787470262;0.15955344019901943;0.6763529329358517;27;120;0.2570899890487519;0.0;0.10571522544510763;0.5070404215136619;0.4472934472934473;0.0;0.39643347050754457;0.668800005452637;0.5615572770000004;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=5-M=40-t=0.1-w=1500-w=1500;0.10925929167906723;0.3305439330543933;0.1642325201968369;0.7157035296632256;21;120;0.25865169641793345;0.0;0.10925929167906723;0.5085781124054922;0.47619047619047616;0.0;0.44444444444444436;0.6900655593423543;0.6018919619999998;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=5-M=45-t=0.1-w=1500-w=1500;0.10527118057794793;0.324455205811138;0.158965256229223;0.7633238420166454;19;120;0.2571475511154052;0.0;0.10527118057794793;0.5070971811353374;0.43859649122807015;0.0;0.39889196675900274;0.6622661785325219;0.6137241969999998;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=5-M=50-t=0.1-w=1500-w=1500;0.10456361356163928;0.32336297493936944;0.1580271105384823;0.7739450991913298;16;120;0.25693228999066015;0.0;0.10456361356163928;0.5068848883037056;0.4083333333333333;0.0;0.390625;0.6390096504226938;0.6147972979999992;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=10-M=5-t=0.1-w=1500-w=1500;0.10852421233655157;0.3294301327088212;0.16326425837125375;0.6656902940224684;24;120;0.25806742779078845;0.0;0.10852421233655157;0.5080033737986279;0.3804347826086957;0.0;0.29340277777777773;0.6167939547439613;0.5528948559999982;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=10-M=10-t=0.1-w=1500-w=1500;0.10477276563557697;0.32368621477532367;0.1583045354194621;0.6270141230223002;33;120;0.25722024594579534;0.0;0.10477276563557697;0.5071688534854988;0.2803030303030303;0.0;0.1322314049586777;0.5294365215047317;0.5436984110000012;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=10-M=15-t=0.1-w=1500-w=1500;0.10541406645302748;0.3246753246753247;0.1591545709192768;0.6038690768771365;39;120;0.25737250696775793;0.0;0.10541406645302748;0.5073189400838075;0.27125506072874495;0.0;0.16831032215647598;0.5208215248323987;0.5707395290000008;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=10-M=20-t=0.1-w=1500-w=1500;0.10638711421602784;0.3261703760552571;0.16044260396236606;0.6602464977173491;29;120;0.25763068329849703;0.0;0.10638711421602784;0.507573328001479;0.3522167487684729;0.0;0.267538644470868;0.593478515844064;0.5813169000000009;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=10-M=25-t=0.1-w=1500-w=1500;0.10737369732298427;0.3276792598303778;0.16174644068282296;0.7002765677860785;24;120;0.25792545951245516;0.0;0.10737369732298427;0.5078636229466087;0.3804347826086957;0.0;0.34027777777777785;0.6167939547439613;0.5800303949999979;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=10-M=30-t=0.1-w=1500-w=1500;0.10488184102882785;0.32385466034755134;0.15844917749701198;0.7194526773724539;20;120;0.25688577512191774;0.0;0.10488184102882785;0.5068390031577263;0.531578947368421;0.0;0.48999999999999994;0.7290946079682807;0.5945944029999986;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=10-M=35-t=0.1-w=1500-w=1500;0.10588309397833207;0.3253968253968254;0.15977568672179454;0.7252889845765601;20;120;0.25713403179646227;0.0;0.10588309397833207;0.507083850853547;0.5157894736842106;0.0;0.48999999999999994;0.7181848464596079;0.6294389789999997;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=10-M=40-t=0.1-w=1500-w=1500;0.10925929167906723;0.3305439330543933;0.1642325201968369;0.7926974447310797;13;120;0.25865169641793345;0.0;0.10925929167906723;0.5085781124054922;0.717948717948718;0.0;0.7159763313609468;0.8473185457363234;0.5989211499999989;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=10-M=45-t=0.1-w=1500-w=1500;0.10980994662402595;0.3313758389261745;0.1649570968819646;0.7747709904123129;16;120;0.2588612017423743;0.0;0.10980994662402595;0.5087840423424995;0.6583333333333333;0.0;0.66015625;0.811377429642539;0.6257912459999986;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=10-M=50-t=0.1-w=1500-w=1500;0.10456361356163928;0.32336297493936944;0.1580271105384823;0.779263730633911;14;120;0.25693228999066015;0.0;0.10456361356163928;0.5068848883037056;0.6373626373626373;0.0;0.6173469387755102;0.7983499466791724;0.7097883899999999;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=15-M=5-t=0.1-w=1500-w=1500;0.1088691129548458;0.3299531981279251;0.16371871297139276;0.6613621923775884;18;120;0.2581787580636715;0.0;0.1088691129548458;0.5081129382958788;0.5359477124183006;0.0;0.5216049382716049;0.7320844981409595;0.754583482000001;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=15-M=10-t=0.1-w=1500-w=1500;0.10714471871169275;0.3273296789350039;0.16144401863696947;0.6887331974798507;22;120;0.2576277177848749;0.0;0.10714471871169275;0.5075704067268647;0.329004329004329;0.0;0.20661157024793386;0.5735889896121865;0.6180199559999977;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=15-M=15-t=0.1-w=1500-w=1500;0.10611024992052129;0.32574568288854006;0.1600763272927698;0.666198683765447;27;120;0.2573039125614594;0.0;0.10611024992052129;0.5072513307636161;0.2934472934472934;0.0;0.19753086419753085;0.5417077564954128;0.5742552430000032;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=15-M=20-t=0.1-w=1500-w=1500;0.10638711421602784;0.3261703760552571;0.16044260396236606;0.6619572911091389;26;120;0.25763068329849703;0.0;0.10638711421602784;0.507573328001479;0.3723076923076923;0.0;0.28994082840236685;0.610170215847752;0.6395249529999987;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=15-M=25-t=0.1-w=1500-w=1500;0.10737369732298427;0.3276792598303778;0.16174644068282296;0.7196417882344291;20;120;0.25792545951245516;0.0;0.10737369732298427;0.5078636229466087;0.5;0.0;0.48999999999999994;0.7071067811865476;0.6879201010000031;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=15-M=30-t=0.1-w=1500-w=1500;0.10504772766329736;0.3241106719367589;0.15866910506754764;0.7559422802447459;16;120;0.25692450092560165;0.0;0.10504772766329736;0.5068772049773018;0.6583333333333333;0.0;0.66015625;0.811377429642539;1.266098735;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=15-M=35-t=0.1-w=1500-w=1500;0.1065585824982758;0.32643312101910826;0.16066936328671594;0.7883676323417196;14;120;0.2573616362575177;0.0;0.1065585824982758;0.5073082260889504;0.8571428571428571;0.0;0.8622448979591837;0.9258200997725514;0.6318469129999968;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=15-M=40-t=0.1-w=1500-w=1500;0.10774832594317868;0.32825040128410915;0.16224098383710048;0.7976951178693876;13;120;0.25792028466998007;0.0;0.10774832594317868;0.5078585282044401;0.7051282051282052;0.0;0.7159763313609468;0.8397191227596316;0.634980855000002;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=15-M=45-t=0.1-w=1500-w=1500;0.10597884137262911;0.32554391619661566;0.15990242205888477;0.7972225391871883;13;120;0.2573652881391178;0.0;0.10597884137262911;0.5073118253491808;0.717948717948718;0.0;0.7159763313609468;0.8473185457363234;0.6339597919999989;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=15-M=50-t=0.1-w=1500-w=1500;0.10456361356163928;0.32336297493936944;0.1580271105384823;0.8720213622639932;9;120;0.25693228999066015;0.0;0.10456361356163928;0.5068848883037056;1.0;1.0;1.0;1.0;0.6483838059999982;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=20-M=5-t=0.1-w=1500-w=1500;0.10312975080970323;0.32113821138211385;0.15612257661038148;0.8239659591235244;8;120;0.25648455019944827;0.0;0.10312975080970323;0.5064430374676389;0.39285714285714285;0.0;0.390625;0.6267831705280087;0.5767790290000008;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=20-M=10-t=0.1-w=1500-w=1500;0.10714471871169275;0.3273296789350039;0.16144401863696947;0.6862129374091174;18;120;0.2576277177848749;0.0;0.10714471871169275;0.5075704067268647;0.3790849673202614;0.0;0.30864197530864196;0.6156987634551992;0.5568501179999998;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=20-M=15-t=0.1-w=1500-w=1500;0.10611024992052129;0.32574568288854006;0.1600763272927698;0.6841187819532863;21;120;0.2573039125614594;0.0;0.10611024992052129;0.5072513307636161;0.34285714285714286;0.0;0.2743764172335601;0.5855400437691199;0.5943263630000004;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=20-M=20-t=0.1-w=1500-w=1500;0.10507595139655364;0.3241542092840283;0.1587065172014494;0.7225763515635715;18;120;0.25698532372674504;0.0;0.10507595139655364;0.5069371989968235;0.5228758169934641;0.0;0.5216049382716049;0.7231015260621872;0.6238214099999979;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=20-M=25-t=0.1-w=1500-w=1500;0.10473122946245891;0.3236220472440945;0.15824944844416755;0.7653108934464976;14;120;0.256880301309854;0.0;0.10473122946245891;0.506833603177467;0.6153846153846154;0.0;0.6173469387755102;0.7844645405527362;0.617178930999998;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=20-M=30-t=0.1-w=1500-w=1500;0.10521400817176736;0.32436708860759494;0.1588894938221194;0.8155286449224787;12;120;0.2569642803451697;0.0;0.10521400817176736;0.5069164431591954;0.6818181818181818;0.0;0.6944444444444445;0.8257228238447705;0.6226392429999947;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=20-M=35-t=0.1-w=1500-w=1500;0.1067284646275456;0.32669322709163345;0.16089396169077444;0.8249602529750588;11;120;0.25743151794734936;0.0;0.1067284646275456;0.5073770963961118;0.8181818181818182;0.0;0.8264462809917354;0.9045340337332909;0.7155159389999994;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=20-M=40-t=0.1-w=1500-w=1500;0.10774832594317868;0.32825040128410915;0.16224098383710048;0.8008562252329426;13;120;0.25792028466998007;0.0;0.10774832594317868;0.5078585282044401;0.7051282051282052;0.0;0.7159763313609468;0.8397191227596316;0.8249910120000052;full;0;0;0;0;0;0;0;0
