approach;log;config;precision;recall;F$_1$-score;ED;Seg. found;Seg. true;rand_mic;ari_mic;jaccard_mic;fowlkes_mallows_mic;rand_mac;ari_mac;jaccard_mac;fowlkes_mallows_mac;runtime;part;num_classes;sizeof_cooc;max_num_events;max_buffer_size;size_clust;size_full;avg_resp_seg;avg_resp_cat
Urabe et al.;Reimbursement.csv;N=5-M=5-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.4520367723725414;79;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.6150287410000006;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=5-M=10-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.190083811000001;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=5-M=15-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.3529161710000004;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=5-M=20-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.2264596680000004;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=5-M=25-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.2557910880000023;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=5-M=30-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.283314727000004;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=5-M=35-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.655119959000004;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=5-M=40-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.5053712079999997;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=5-M=45-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.749682655000001;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=5-M=50-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.6111409089999995;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=10-M=5-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.42450211096667856;77;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.304140883999999;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=10-M=10-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.197009625000007;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=10-M=15-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.152284073000004;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=10-M=20-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.270812120000002;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=10-M=25-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.4930110530000036;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=10-M=30-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.450124684000002;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=10-M=35-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;3.1964217969999993;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=10-M=40-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.671623979000003;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=10-M=45-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.6372706739999927;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=10-M=50-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.7458271960000076;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=15-M=5-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.6046110150067814;26;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0784628159999983;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=15-M=10-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.1989968970000007;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=15-M=15-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.668665077;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=15-M=20-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.872683125000009;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=15-M=25-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.546503229999985;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=15-M=30-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.7042060919999926;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=15-M=35-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.6403277830000036;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=15-M=40-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.8472099929999786;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=15-M=45-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;3.1208342330000107;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=15-M=50-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.7334217450000153;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=20-M=5-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.6449196320000112;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=20-M=10-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.62476781700002;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=20-M=15-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.6047344380000084;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=20-M=20-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.682014519000006;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=20-M=25-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;3.022851357999997;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=20-M=30-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;3.0687038430000086;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=20-M=35-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;3.2362532520000116;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=20-M=40-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;3.057193683999998;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=20-M=45-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.8038971240000023;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=20-M=50-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;3.178447738000017;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=25-M=5-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.5415185399999984;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=25-M=10-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.705605169000023;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=25-M=15-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.709976259000001;full;0;0;0;0;0;0;0;0
Urabe et al.;Reimbursement.csv;N=25-M=20-t=0.1-w=1500-w=1500;1.0;1.0;1.0;0.978653888041821;1;50;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2.9186568270000066;full;0;0;0;0;0;0;0;0
